subregion_name,year,amounttotal,amountmdb
Western Africa,2014,434565787.7229008,434565787.7229008
Western Africa,2016,553376935.9237914,139644104.6235326
Western Africa,2018,247363559.06948,226749929.147023
Western Africa,2019,354317545.387072,354317545.387072
Western Asia,2003,18852473.6579842,17586262.7406569
Western Asia,2004,27404341.304156,27404341.304156
Western Asia,2006,197043551.039643,84014399.1401761
Western Asia,2007,18723460.2664112,18723460.2664112
Western Asia,2009,529053902.784446,217146739.257098
Western Asia,2010,878309711.671264,474762006.308792
Western Asia,2011,120811208.215555,92046634.8308987
Western Asia,2012,20290611.6487552,16908843.0406293
Western Asia,2013,58882055.1711063,55549108.6519871
Western Asia,2014,729195925.562705,572752241.9824599
Western Asia,2015,2402294.2095574,2402294.2095574
Western Asia,2016,97590463.2708884,97590463.2708884
Western Asia,2020,117000000,0
